,50 B off 1,,,,,50 B off 2,,,,,50 B on 1,,,,,50 B on 2,,,,,50 Z off,,,,,50 Z on 1,,,,,50 Z on 2,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
625,0,1,37,6,5,0,1,24,4,7,0,0,2,0,0,0,1,22,3,5,0,1,24,4,7,0,1,23,4,7,0,1,40,6,6
630,0,1,36,6,6,0,1,23,4,9,0,0,2,0,0,0,1,21,4,7,0,1,23,4,9,0,1,22,4,10,0,1,38,7,7
635,0,1,39,6,5,0,1,25,4,8,0,0,2,0,0,0,1,23,3,6,0,1,25,4,8,0,1,24,4,9,0,1,42,6,7
640,0,1,38,5,5,0,1,25,3,7,0,0,2,0,0,0,1,23,3,6,0,1,25,3,7,0,1,24,3,8,0,1,41,6,6
645,0,1,37,5,5,0,1,24,3,8,0,0,2,0,0,0,1,22,3,6,0,1,24,3,7,0,1,23,3,8,0,1,40,5,6
650,0,1,37,6,5,0,1,24,4,7,0,0,2,0,0,0,1,22,3,6,0,1,24,4,7,0,1,23,3,8,0,2,39,6,6
655,0,1,37,6,5,0,1,24,4,7,0,0,2,0,0,0,1,22,3,6,0,1,24,4,7,0,1,23,4,8,0,1,40,6,6
660,0,1,37,6,4,0,1,24,4,6,0,0,2,0,0,0,1,22,3,5,0,1,24,4,6,0,1,23,3,7,0,2,40,6,5
665,0,1,38,5,5,0,1,25,3,7,0,0,2,0,0,0,1,22,3,5,0,1,25,3,7,0,1,24,3,7,0,1,41,6,6
670,0,1,39,6,5,0,1,25,4,8,0,0,2,0,0,0,1,23,3,6,0,1,25,4,7,0,1,24,4,8,0,1,42,6,6
675,0,1,40,5,5,0,1,26,3,8,0,0,2,0,0,0,1,24,3,6,0,1,26,3,8,0,1,25,3,9,0,2,43,6,7
680,0,1,42,6,5,0,1,27,4,8,0,0,3,0,0,0,1,25,4,6,0,1,27,4,7,0,1,26,4,8,0,1,45,7,6
