,49 B off,,,,,49 B on,,,,,49 Z off,,,,,49 Z on,,,,,,,,,,,,,,,,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,,,,,,,,,,,,,,,
1035,0,1,63,6,1,0,1,83,8,2,0,1,84,8,2,0,1,64,6,1,,,,,,,,,,,,,,,
1040,0,1,64,6,1,0,1,83,8,2,0,1,84,8,2,0,1,64,6,1,,,,,,,,,,,,,,,
1045,0,1,63,6,1,0,1,82,8,2,0,1,83,8,2,0,1,63,6,1,,,,,,,,,,,,,,,
1050,0,1,63,6,1,0,1,82,8,1,0,1,83,8,1,0,1,63,6,1,,,,,,,,,,,,,,,
1055,0,1,63,5,1,0,1,81,7,1,0,1,83,7,1,0,1,63,5,1,,,,,,,,,,,,,,,
1060,0,1,62,5,1,0,1,80,7,1,0,1,81,7,1,0,1,62,5,1,,,,,,,,,,,,,,,
1065,0,1,60,5,1,0,1,78,6,1,0,1,79,7,1,0,1,60,5,1,,,,,,,,,,,,,,,
1070,0,1,58,5,1,0,1,76,6,1,0,1,77,6,1,0,1,58,5,1,,,,,,,,,,,,,,,
1075,0,1,56,5,0,0,1,73,6,1,0,1,74,6,1,0,1,56,5,0,,,,,,,,,,,,,,,
1080,0,1,55,4,1,0,1,71,6,1,0,1,72,6,1,0,1,55,4,1,,,,,,,,,,,,,,,
1085,0,1,55,4,1,0,1,71,6,1,0,1,72,6,1,0,1,55,4,1,,,,,,,,,,,,,,,
1090,0,1,54,4,0,0,1,71,5,1,0,1,72,6,1,0,1,55,4,0,,,,,,,,,,,,,,,
1095,0,1,52,4,0,0,1,68,5,0,0,1,69,5,0,0,1,52,4,0,,,,,,,,,,,,,,,
1100,0,1,51,4,0,0,1,66,5,1,0,1,67,5,1,0,1,51,4,0,,,,,,,,,,,,,,,
1105,0,1,48,4,1,0,1,63,5,1,0,1,64,5,1,0,1,49,4,1,,,,,,,,,,,,,,,
1110,0,1,46,4,0,0,1,60,5,1,0,1,61,5,1,0,1,47,4,0,,,,,,,,,,,,,,,
1115,0,1,46,3,0,0,1,60,5,1,0,1,61,5,1,0,1,46,3,0,,,,,,,,,,,,,,,
1120,0,1,46,3,0,0,1,60,5,0,0,1,61,5,0,0,1,46,3,0,,,,,,,,,,,,,,,
1125,0,1,45,3,0,0,1,58,5,1,0,1,59,5,1,0,1,45,3,0,,,,,,,,,,,,,,,
1130,0,1,43,3,0,0,1,56,4,1,0,1,57,4,1,0,1,43,3,0,,,,,,,,,,,,,,,
1135,0,1,40,3,0,0,1,52,4,0,0,1,53,4,0,0,1,40,3,0,,,,,,,,,,,,,,,
1140,0,1,38,3,0,0,1,49,4,0,0,1,50,4,0,0,1,38,3,0,,,,,,,,,,,,,,,
1145,0,1,37,3,0,0,1,48,4,0,0,1,48,4,0,0,1,37,3,0,,,,,,,,,,,,,,,
